"id","tau_hat_log","trade_share","trade_share_normalized","trade_share_normalized_log","importer","exporter","distance","border","importer_is_OECD","exporter_is_OECD"
"CAN AUT",0.84303944019587,0.001431637,0.00290919920041763,-5.83987742453006,"CAN","AUT",6922.538,"0",1,1
"CAN BEL",0.901861148416223,0.001701765,0.00345812058314972,-5.66703002155119,"CAN","BEL",6031.534,"0",1,1
"CAN BGD",2.07984259027202,0.0002150577,0.000437014193460811,-7.73554488408077,"CAN","BGD",12464.92,"0",1,0
"CAN CMR",2.59083238253297,2.032234e-08,4.12965963289684e-08,-17.0024857537178,"CAN","CMR",9793.375,"0",1,0
"CAN DNK",0.687412485989761,0.0006919112,0.00140601808265643,-6.56699362461205,"CAN","DNK",6257.225,"0",1,1
"CAN EGY",1.62676216625444,1.329758e-05,2.70217304410891e-05,-10.5188691845114,"CAN","EGY",9217.863,"0",1,0
"CAN ESP",1.56378316719827,0.001396907,0.00283862510361062,-5.86443546247916,"CAN","ESP",6040.498,"0",1,1
"CAN ETH",2.4867516310068,8.569251e-07,1.74133933094618e-06,-13.2608560103995,"CAN","ETH",11491.9,"0",1,0
"CAN FIN",0.68238187566131,0.0007983054,0.0016222194811737,-6.42396001729294,"CAN","FIN",6610.818,"0",1,1
"CAN FRA",0.738639151132962,0.007274251,0.0147818512603664,-4.21435511688314,"CAN","FRA",6004.645,"0",1,1
"CAN GBR",0.829365759516561,0.009669655,0.0196495009519273,-3.92970333783785,"CAN","GBR",5715.747,"0",1,1
"CAN GRC",1.14542536001748,0.0001277665,0.000259631596305599,-8.25624686903982,"CAN","GRC",8103.304,"0",1,1
"CAN IND",1.93520497536685,0.001205579,0.00244983153050689,-6.0117360198482,"CAN","IND",11643.63,"0",1,0
"CAN IRL",0.815240652754543,0.001346036,0.00273525122285422,-5.90153199253528,"CAN","IRL",5256.649,"0",1,1
"CAN IRN",1.14118499489045,6.249796e-05,0.000127000779708636,-8.97131733208645,"CAN","IRN",9900.537,"0",1,1
"CAN ITA",0.958966349267122,0.00657013,0.0133510219019485,-4.31616235010301,"CAN","ITA",7089.198,"0",1,1
"CAN JAM",1.0631377574896,0.0005345553,0.00108625849383538,-6.82501606200407,"CAN","JAM",2868.783,"0",1,0
"CAN JPN",0.58104047645763,0.02010856,0.0408621785225934,-3.19755037425934,"CAN","JPN",10358.49,"0",1,1
"CAN KEN",2.17635190593122,7.607328e-06,1.54586899716301e-05,-11.0773392550299,"CAN","KEN",12195.27,"0",1,0
"CAN KOR",1.38055615192487,0.005970424,0.0121323720516823,-4.41187802265584,"CAN","KOR",10617.7,"0",1,1
"CAN LKA",2.21932067018604,0.000155056,0.000315086010783429,-8.06266490630391,"CAN","LKA",14029.91,"0",1,0
"CAN MLI",1.93470725990266,3.082221e-06,6.26331595838221e-06,-11.980800807285,"CAN","MLI",7554.844,"0",1,0
"CAN MUS",2.60536473885387,4.529171e-05,9.20363238150085e-05,-9.29332723476157,"CAN","MUS",15270.32,"0",1,0
"CAN MWI",2.30893021352063,1.547885e-06,3.1454242970379e-06,-12.6695617652938,"CAN","MWI",12944.85,"0",1,0
"CAN NLD",0.982168252902818,0.001884497,0.0038294464068681,-5.56503502752438,"CAN","NLD",5988.239,"0",1,0
"CAN NOR",0.511756920340254,0.0006246002,0.00126923682638874,-6.66933948324225,"CAN","NOR",5941.591,"0",1,1
"CAN NPL",1.91491932032592,9.504079e-06,1.93130374721427e-05,-10.8547301734208,"CAN","NPL",11940.37,"0",1,0
"CAN NZL",1.08788682639427,0.000664388,0.00135008877136248,-6.60758493212886,"CAN","NZL",14308.33,"0",1,1
"CAN PAK",2.0840371193168,0.0004993401,0.00101469843239345,-6.893163821577,"CAN","PAK",10987.31,"0",1,0
"CAN PHL",2.21847246920764,0.0006885546,0.00139919720694833,-6.57185663043946,"CAN","PHL",13226.18,"0",1,0
"CAN PRT",1.21072403870675,0.000336758,0.00068431879333535,-7.2870866767919,"CAN","PRT",5730.805,"0",1,0
"CAN RWA",1.97446398196438,2.370939e-08,4.81793488366044e-08,-16.848335355073,"CAN","RWA",11720.96,"0",1,0
"CAN SEN",2.61183638259293,4.010274e-06,8.14919278717693e-06,-11.7175916801349,"CAN","SEN",6649.851,"0",1,0
